alpha_best_1,alpha_best_2,alpha_best_3,mse_w_S,mse_T,mse_S
1.0641556957655602,1.0607487256083916,1.9619468174465269,3.8526109767080587,3.8236222463566087,6.024625335356001
1.5489636003224343,1.055339880949794,1.9553426364343678,4.446581631944858,4.403161673469966,7.52993740245224
1.8414281524127638,1.0338964669909305,1.927255037382127,3.8797254953887053,3.8396011101492404,7.0923007408814955
2.074505951871519,0.9437780999528503,2.000794049458553,4.1132407876261095,4.059173394150781,6.283751755078726
0.00024361171679146713,0.8745008883256616,2.1606095846376854,3.295368692688774,3.2727915502442095,6.110479334099018
0.0001240167844595067,1.0006298204561865,2.022983803359258,3.1161927807672827,3.093330152433884,5.367976167312465
0.4165887134011086,1.0333609648973463,2.0106326646920394,3.9201580501411923,3.878513149476335,6.6349094197591345
0.000464980566600875,0.9649403742388558,2.0889646517215548,3.0408290852088404,3.037999510835297,5.261246810787763
6.290653209963524e-05,0.9209821038379364,2.14586016163897,3.62290473393659,3.647048119283895,5.9813083644241685
2.633944924657326,0.9368374774054501,1.915389435210043,3.2010432108875566,3.1652817790160843,5.374599950495259
3.0294353847023348,1.0707590486997804,1.7752537312536412,3.3027457708693997,3.3066906392069035,5.695378684510615
0.0006946300706878791,1.0717430545942324,1.9682421864705444,4.46725479358273,4.430319332744768,6.740397015813954
7.194832803715599e-05,1.0031327775176855,1.9888265475888496,4.200134125148976,4.118666398413005,7.246075998654203
1.5421359556948613,0.9394178034796705,2.007014072971473,4.005757252773245,3.9663298055246043,5.865398433298747
0.0002849704845138436,0.9674105182857147,2.0228628051149666,3.8212410660197764,3.8251725334849316,5.86690863514691
0.0004174365906315213,0.9144104942969358,2.0382777105029644,3.6832537735272983,3.6921588743560942,5.941630461299632
1.8153705191035607,0.9830844919647823,1.948603686354965,3.9875476165448482,3.8003922068030085,5.718448372242378
0.06096147915477175,1.1061911122089025,1.9359643067366858,3.318932525138529,3.338376202385054,5.222946668348095
2.343053170236143,0.9140721282314638,1.9735190443965474,4.422040539830191,4.4090631473252255,7.281831909606975
0.00011546215671654056,0.9263310790956311,2.0758824031647998,3.6272346589276103,3.6578860349290125,5.1748488595088
0.0001838017729484647,1.0691111738703452,1.934420045773322,3.2876091699044565,3.1677186040666436,5.148589089189639
0.018533834673290103,0.9485051573703129,2.0628176031994747,4.092078851663483,4.082907387133061,7.29469238061063
2.0502775335889014,1.0905322229185046,1.8942677292651013,3.969476781039681,3.9515596140328153,6.051134425739172
0.15522334899231308,1.020525564718223,1.9325007535254632,4.082326517094077,3.967055076696154,5.881149585908652
2.0602578679215533,1.0151600072628253,1.931807711651222,3.172277467211097,3.189407481522814,5.368702781022197
0.0001958914646779643,0.9060660196676869,2.0450777378611216,3.585736333851798,3.5049609013535274,6.018963523516098
0.07174768168639627,0.9866599056347383,2.0683321009589757,3.988767423461704,3.987671726571812,6.361360075511144
1.511611059812265,1.040027258592851,1.9150834573275148,3.2508091332267774,3.2602167325188,5.211272252258565
0.0007046654283308041,0.925396019202888,2.0411631564338646,3.766481143072093,3.758451795682022,6.376535128835252
