alpha_best_1,alpha_best_2,alpha_best_3,mse_w_S,mse_T,mse_S
1.189563576615838,1.138207675023663,1.9126679653748173,1.155898869810289,1.0414718457652947,2.4408423153086467
3.2449606759157175,1.3478796188157713,1.4569580539658546,1.102078954840703,1.022771588208604,1.9871985269858174
2.6358620350692337,0.9821343907681862,1.911705271925271,1.648504244468298,1.495307330911855,3.4292209281663935
2.284294482138125,0.8409868794205512,2.1330571775761413,1.3358157576108458,1.4385039947316327,3.1844716750547613
1.540610838971471,1.1903480968389502,1.8327661999422833,2.312262338285413,1.5571261990261196,4.0343344714925005
2.7245135986028255,0.6987828729899406,2.0575962510867116,1.6247303044389696,1.317082753029071,2.884119944606752
1.6216892647472643,0.7413033107446299,2.1273629524450657,1.0859778776282452,0.9432643089810764,2.4476541744381195
1.6303689747380379,1.1573787280160373,1.8728006236181376,1.5207633978020592,1.2866447167778043,3.052205277825784
2.2894771666563556,0.7758346469244725,2.0383206357169987,3.2183198838675726,2.5483491936892406,4.24672757555791
1.81966144836371,0.7463387733304173,2.1344142488113618,1.2457328454285657,1.1165218657002276,2.360796319139524
2.8701567009815876,1.096884635685281,1.7681549068988556,1.2611744126517737,1.1499842727756744,2.1708672292917273
2.3027739365307216,1.124689715321531,1.801938002403487,3.133336832794241,2.029538183394,5.109442423899314
2.3584070938766244,0.8541765908761567,1.9610497730514664,1.8574869259472542,1.2245902629446335,3.508948276379462
0.7564597379615268,0.9606047892368313,2.016818228874992,1.3329278516975438,1.069772312378532,2.3591229346926292
3.090322051711418,0.8796754212201371,1.8536769174539283,1.0196410214698448,0.9527031224837211,1.8500551539356063
1.7966839368214427,0.8499644942617816,2.11027903491212,1.270469491201849,1.0719533527331302,1.9342742376238118
2.5802981177305258,0.7637674600898074,2.0381002845762244,1.2127824203863893,1.1343906585177503,3.025619576204132
2.1922179538893114,0.7170015656328685,2.05553032301305,1.0625756609976635,1.0415367651027145,1.6728153758362292
2.333639169350966,0.9323414291337305,1.9736014638807984,1.1175504961702254,1.0964747302647828,2.1671232554236295
0.8644225701645122,0.9287735730832664,2.0390327844563845,1.1105109157548032,0.9985807692790575,2.346551479445741
1.981027385898393,1.1711681816143467,1.7256494638252706,1.4473483220484504,1.3248799859688272,2.7357888624601068
2.044128601506396,1.278914165813833,1.6638614507742424,1.9100176925285894,1.1880763834533523,3.0423640829184944
2.6698996449324954,1.0759367751513003,1.8027612810859739,1.289955832702874,1.0574300412864182,2.909099755246477
3.393828070352569,0.9119250513456395,1.7966225630024397,1.3245810983742876,1.1837108070862432,2.2261089634086346
3.648844784991816,1.058570535667816,1.7015531163909308,1.2517239693998086,1.0958795513057544,2.8198247309777624
1.662504507739788,0.9307352564028248,1.997425096814615,2.375223974246027,2.1693081709317705,4.441092539504446
1.2823652806727839,0.9794871956968386,1.9841315783303504,1.2168864029241124,1.0741510503556109,1.6678467759865123
3.038825454624497,1.0395390759316405,1.7874504510878835,1.4893654581952986,1.152842524360263,3.5108261498250277
2.6312616290820365,1.0542281961371647,1.807708976119842,1.7891903489617036,1.2583741709626888,3.9639319908299484
2.3120488266049515,1.2124331365507066,1.7140020222930399,1.2466466533904599,1.1785917571894355,2.18040941616154
0.866933228714929,0.9333625687645438,2.0280506454507847,1.1215885431051351,1.1861633423821203,2.2496377130495175
1.7978900794377148,0.9649954893342768,2.022010206751489,1.4111065060194468,1.6265997193583486,2.6455811937799747
3.5268340927773494,1.1803272734876824,1.6003159688786444,1.249702670364075,1.0179814094327881,2.7091036152448416
3.3940166844096007,1.2551835026578362,1.5219671945535884,1.6306686150333796,1.2390321773946085,3.283022923881476
3.765321216087301,1.3020882071096465,1.4599007433409532,1.305059907476821,1.2321064453711912,2.9027886628191717
3.024616720517582,0.9555635703360005,1.8409127679041033,1.1865893411016624,1.0832486338512461,1.6347453651055495
2.2525928835449776,1.157609655241675,1.7736058697704047,1.4720639609723043,1.4772898853789862,2.6490706604711276
3.400223583069431,0.622694875578837,1.958385773669188,1.7240179696199096,1.0652833187681627,2.504692106639065
4.128080777270317,0.8729092048170705,1.8509595559035883,1.1311747083710393,1.0869556758182617,1.9725299879451261
1.9037479770522787,1.313811094051017,1.704152696386526,1.797422910465117,1.2606273836486765,3.141741502201281
2.2694431462899494,1.026393214952054,1.9234966987948803,1.1601184257683117,1.0764550793097591,2.8509812680038857
1.369653041919804,1.0752797815541988,2.0156339401152357,1.2313111478979981,1.2221763406636637,2.1697458329961266
2.320663640164371,0.9898647024871507,1.8504740475838934,1.2265072442913498,1.161954129683847,2.161780880709019
2.6148134777337964,0.9050794820427877,1.9499150628752324,1.8930060363940255,1.3409769473706947,3.2799085874589364
2.5231928060517252,0.8907126699001241,1.9467662968719495,2.0842213363186293,1.3733353877465606,3.184624742770354
1.907810376645335,1.0937096780059343,1.8057076268496677,1.1441984330138193,1.0942161598520574,1.750826475816931
3.8284028766941707,1.0947657811343505,1.6300453381514939,1.6971336781825148,1.06010865526455,2.721311314720513
3.021064736762616,1.02536245026551,1.726166865121917,1.3193921684833703,1.1371745586063142,2.159511210279769
2.1117189933138736,1.048437507162749,1.8807482727543967,1.493294235193095,1.2251111133491208,2.85387596534443
2.0435871211731444,0.9805082956116441,1.9732032551100678,1.410402852572037,1.1541658555066736,2.511168218692457
1.5827274032920404,0.6264702013842335,2.132323940626391,2.386176407128039,2.2210282975946765,4.2827373590469
4.410207890556143,1.0655780417525667,1.545497959038634,1.2718447120950598,1.2036606679420123,3.2649006757818486
3.220732066234092,0.8648224026413256,1.9105259280510878,1.8152450332571415,1.38191143011641,2.273990855968318
2.9856254241670954,0.9914490555351376,1.772446066753355,2.2686286350932217,1.3202475834805054,4.608819898294063
2.2066633124290918,0.9377188462536543,1.9999436899184735,1.2526259346838975,1.2142719097999988,2.3155648577133494
2.3094174979482966,1.0800328928021328,1.8652969578298475,1.5932610463769559,1.2905918690244456,2.4987513546427755
3.535509082341231,0.9553123459951234,1.848844159293343,1.6104893913923588,1.4664224624933733,3.5232950475194302
1.5487806751132522,0.7956670238037874,2.1232075916942796,1.006567784379567,0.949544889033134,1.9242067034990724
2.536673661042925,0.9183654952301553,1.9656513996217135,2.012755818384002,1.600321511947957,4.6043127329850675
5.208062428054445,0.5177243750131167,1.792178646641881,1.130396668793565,0.9909226832763998,2.592003679205466
2.4248731215062094,1.1965035079199242,1.7526273838873156,1.6134151761505495,1.2861195849319997,3.1632631636587902
2.4235375315491816,0.8933327069349684,1.9649469992190114,1.250730559501939,1.156071751420631,2.3680089420282138
3.807537026834348,0.9784919652161349,1.6642047831688809,1.285790945865272,1.071063548797506,2.2719889963482065
